,title,State,rev_id,Prediction,population,DIVISION
81,"Cleveland, Alabama",Alabama,1168466910.0,C,5074296.0,East South Central
82,"Clio, Alabama",Alabama,1165644511.0,Start,5074296.0,East South Central
83,"Coaling, Alabama",Alabama,1166018304.0,C,5074296.0,East South Central
84,"Coffee Springs, Alabama",Alabama,1166018326.0,Start,5074296.0,East South Central
85,"Coffeeville, Alabama",Alabama,1166029689.0,C,5074296.0,East South Central
86,"Coker, Alabama",Alabama,1166018360.0,Start,5074296.0,East South Central
87,"Collinsville, Alabama",Alabama,1177947751.0,C,5074296.0,East South Central
88,"Colony, Alabama",Alabama,1166018463.0,GA,5074296.0,East South Central
89,"Columbia, Alabama",Alabama,1166018475.0,C,5074296.0,East South Central
90,"Columbiana, Alabama",Alabama,1151357569.0,C,5074296.0,East South Central
91,"Coosada, Alabama",Alabama,1172561590.0,C,5074296.0,East South Central
92,"Cordova, Alabama",Alabama,1165645181.0,GA,5074296.0,East South Central
93,"Cottonwood, Alabama",Alabama,1096812941.0,C,5074296.0,East South Central
94,"County Line, Alabama",Alabama,1166018950.0,Start,5074296.0,East South Central
95,"Courtland, Alabama",Alabama,1157580326.0,GA,5074296.0,East South Central
96,"Cowarts, Alabama",Alabama,1166019003.0,C,5074296.0,East South Central
97,"Creola, Alabama",Alabama,1139764613.0,GA,5074296.0,East South Central
98,"Crossville, Alabama",Alabama,1166066155.0,C,5074296.0,East South Central
99,"Cuba, Alabama",Alabama,1175879685.0,C,5074296.0,East South Central
100,"Cullman, Alabama",Alabama,1180017307.0,B,5074296.0,East South Central
101,"Cusseta, Alabama",Alabama,1172824345.0,Start,5074296.0,East South Central
102,"Dadeville, Alabama",Alabama,1158607851.0,C,5074296.0,East South Central
103,"Daleville, Alabama",Alabama,1154496305.0,GA,5074296.0,East South Central
104,"Daphne, Alabama",Alabama,1165646156.0,FA,5074296.0,East South Central
105,"Dauphin Island, Alabama",Alabama,1174226588.0,B,5074296.0,East South Central
106,"Daviston, Alabama",Alabama,1166066473.0,C,5074296.0,East South Central
107,"Dayton, Alabama",Alabama,1166066487.0,C,5074296.0,East South Central
108,"Deatsville, Alabama",Alabama,1166066515.0,C,5074296.0,East South Central
109,"Decatur, Alabama",Alabama,1178063438.0,C,5074296.0,East South Central
110,"Demopolis, Alabama",Alabama,1161394946.0,B,5074296.0,East South Central
111,"Detroit, Alabama",Alabama,1166066756.0,Start,5074296.0,East South Central
112,"Dodge City, Alabama",Alabama,1166066982.0,Start,5074296.0,East South Central
113,"Dora, Alabama",Alabama,1165647022.0,C,5074296.0,East South Central
114,"Dothan, Alabama",Alabama,1179231968.0,B,5074296.0,East South Central
115,"Double Springs, Alabama",Alabama,1159024876.0,C,5074296.0,East South Central
116,"Douglas, Alabama",Alabama,1166067023.0,GA,5074296.0,East South Central
117,"Dozier, Alabama",Alabama,1096813187.0,Start,5074296.0,East South Central
118,"Dutton, Alabama",Alabama,1166067175.0,C,5074296.0,East South Central
119,"East Brewton, Alabama",Alabama,1165647609.0,C,5074296.0,East South Central
120,"Eclectic, Alabama",Alabama,1145048302.0,C,5074296.0,East South Central
121,"Edwardsville, Alabama",Alabama,1166067508.0,C,5074296.0,East South Central
122,"Elba, Alabama",Alabama,1163400900.0,C,5074296.0,East South Central
123,"Elberta, Alabama",Alabama,1175895043.0,C,5074296.0,East South Central
124,"Eldridge, Alabama",Alabama,1178177223.0,Start,5074296.0,East South Central
125,"Elkmont, Alabama",Alabama,1176555126.0,C,5074296.0,East South Central
126,"Elmore, Alabama",Alabama,1166067658.0,C,5074296.0,East South Central
127,"Emelle, Alabama",Alabama,1158753175.0,C,5074296.0,East South Central
128,"Enterprise, Alabama",Alabama,1160273773.0,C,5074296.0,East South Central
129,"Epes, Alabama",Alabama,1166067751.0,C,5074296.0,East South Central
130,"Ethelsville, Alabama",Alabama,1166067848.0,Start,5074296.0,East South Central
131,"Eufaula, Alabama",Alabama,1160493671.0,GA,5074296.0,East South Central
132,"Eutaw, Alabama",Alabama,1158611853.0,C,5074296.0,East South Central
133,"Eva, Alabama",Alabama,1166067877.0,GA,5074296.0,East South Central
134,"Evergreen, Conecuh County, Alabama",Alabama,1158611789.0,C,5074296.0,East South Central
135,"Excel, Alabama",Alabama,1166067942.0,C,5074296.0,East South Central
136,"Fairfield, Alabama",Alabama,1177239572.0,C,5074296.0,East South Central
137,"Fairhope, Alabama",Alabama,1173963070.0,C,5074296.0,East South Central
138,"Fairview, Alabama",Alabama,1166068021.0,C,5074296.0,East South Central
139,"Falkville, Alabama",Alabama,1166068054.0,GA,5074296.0,East South Central
140,"Faunsdale, Alabama",Alabama,1167428050.0,GA,5074296.0,East South Central
141,"Fayette, Alabama",Alabama,1142947111.0,C,5074296.0,East South Central
142,"Five Points, Alabama",Alabama,1166068289.0,C,5074296.0,East South Central
143,"Flomaton, Alabama",Alabama,1166244039.0,C,5074296.0,East South Central
144,"Florala, Alabama",Alabama,1166068321.0,C,5074296.0,East South Central
145,"Florence, Alabama",Alabama,1178304592.0,C,5074296.0,East South Central
146,"Foley, Alabama",Alabama,1166414056.0,C,5074296.0,East South Central
147,"Forkland, Alabama",Alabama,1166068466.0,C,5074296.0,East South Central
148,"Fort Deposit, Alabama",Alabama,1177020476.0,C,5074296.0,East South Central
149,"Fort Payne, Alabama",Alabama,1172551841.0,GA,5074296.0,East South Central
150,"Franklin, Alabama",Alabama,1166068620.0,GA,5074296.0,East South Central
151,"Frisco City, Alabama",Alabama,1166068863.0,C,5074296.0,East South Central
152,"Fruithurst, Alabama",Alabama,1166068877.0,Start,5074296.0,East South Central
153,"Fulton, Alabama",Alabama,1166068885.0,Start,5074296.0,East South Central
154,"Fultondale, Alabama",Alabama,1165840932.0,C,5074296.0,East South Central
155,"Fyffe, Alabama",Alabama,1160192215.0,C,5074296.0,East South Central
156,"Gadsden, Alabama",Alabama,1177146243.0,C,5074296.0,East South Central
157,"Gainesville, Alabama",Alabama,1166068936.0,C,5074296.0,East South Central
158,"Gantt, Alabama",Alabama,1166068957.0,Start,5074296.0,East South Central
159,"Garden City, Alabama",Alabama,1166068968.0,C,5074296.0,East South Central
160,"Gardendale, Alabama",Alabama,1175530987.0,C,5074296.0,East South Central
161,"Gaylesville, Alabama",Alabama,1166069113.0,C,5074296.0,East South Central
162,"Geiger, Alabama",Alabama,1166069121.0,Start,5074296.0,East South Central
163,"Geneva, Alabama",Alabama,1179698088.0,C,5074296.0,East South Central
164,"Georgiana, Alabama",Alabama,1178540000.0,Start,5074296.0,East South Central
165,"Geraldine, Alabama",Alabama,1166069211.0,C,5074296.0,East South Central
166,"Gilbertown, Alabama",Alabama,1166069407.0,C,5074296.0,East South Central
167,"Glen Allen, Alabama",Alabama,1166069457.0,C,5074296.0,East South Central
168,"Glencoe, Alabama",Alabama,1165748058.0,C,5074296.0,East South Central
169,"Glenwood, Alabama",Alabama,1096814086.0,Start,5074296.0,East South Central
170,"Goldville, Alabama",Alabama,1177535939.0,Start,5074296.0,East South Central
171,"Good Hope, Alabama",Alabama,1165748200.0,C,5074296.0,East South Central
172,"Goodwater, Alabama",Alabama,1166069571.0,C,5074296.0,East South Central
173,"Gordo, Alabama",Alabama,1176908359.0,C,5074296.0,East South Central
174,"Gordon, Alabama",Alabama,1166069580.0,C,5074296.0,East South Central
175,"Gordonville, Alabama",Alabama,1166069594.0,C,5074296.0,East South Central
176,"Goshen, Alabama",Alabama,1166069601.0,C,5074296.0,East South Central
177,"Grant, Alabama",Alabama,1166069728.0,GA,5074296.0,East South Central
178,"Graysville, Alabama",Alabama,1177622200.0,C,5074296.0,East South Central
179,"Greensboro, Alabama",Alabama,1172134373.0,C,5074296.0,East South Central
180,"Greenville, Alabama",Alabama,1171417115.0,C,5074296.0,East South Central
181,"Grimes, Alabama",Alabama,1166180119.0,Start,5074296.0,East South Central
182,"Grove Hill, Alabama",Alabama,1144754911.0,C,5074296.0,East South Central
183,"Gu-Win, Alabama",Alabama,1175521277.0,C,5074296.0,East South Central
184,"Guin, Alabama",Alabama,1173001379.0,C,5074296.0,East South Central
185,"Gulf Shores, Alabama",Alabama,1174473447.0,C,5074296.0,East South Central
186,"Guntersville, Alabama",Alabama,1169878221.0,C,5074296.0,East South Central
187,"Gurley, Alabama",Alabama,1173078483.0,C,5074296.0,East South Central
188,"Hackleburg, Alabama",Alabama,1167581471.0,GA,5074296.0,East South Central
189,"Haleburg, Alabama",Alabama,1166180281.0,C,5074296.0,East South Central
190,"Haleyville, Alabama",Alabama,1168590141.0,GA,5074296.0,East South Central
191,"Hamilton, Alabama",Alabama,1170634832.0,C,5074296.0,East South Central
192,"Hammondville, Alabama",Alabama,1166180369.0,C,5074296.0,East South Central
193,"Hanceville, Alabama",Alabama,1169612470.0,C,5074296.0,East South Central
194,"Harpersville, Alabama",Alabama,1177953234.0,C,5074296.0,East South Central
195,"Hartford, Alabama",Alabama,1165749307.0,C,5074296.0,East South Central
196,"Hartselle, Alabama",Alabama,1165749341.0,C,5074296.0,East South Central
197,"Hayden, Alabama",Alabama,1166180747.0,C,5074296.0,East South Central
198,"Hayneville, Alabama",Alabama,1166180764.0,C,5074296.0,East South Central
199,"Headland, Alabama",Alabama,1168369252.0,C,5074296.0,East South Central
200,"Heath, Alabama",Alabama,1166180800.0,Start,5074296.0,East South Central
201,"Heflin, Alabama",Alabama,1176321971.0,C,5074296.0,East South Central
202,"Helena, Alabama",Alabama,1177702091.0,C,5074296.0,East South Central
203,"Henagar, Alabama",Alabama,1165749718.0,C,5074296.0,East South Central
204,"Highland Lake, Alabama",Alabama,1166180993.0,Start,5074296.0,East South Central
205,"Hillsboro, Alabama",Alabama,1166181055.0,C,5074296.0,East South Central
206,"Hobson City, Alabama",Alabama,1166181157.0,C,5074296.0,East South Central
207,"Hodges, Alabama",Alabama,1166181162.0,C,5074296.0,East South Central
208,"Hokes Bluff, Alabama",Alabama,1165750177.0,C,5074296.0,East South Central
209,"Holly Pond, Alabama",Alabama,1166181271.0,C,5074296.0,East South Central
210,"Hollywood, Alabama",Alabama,1166181286.0,C,5074296.0,East South Central
211,"Homewood, Alabama",Alabama,1177622299.0,GA,5074296.0,East South Central
212,"Hoover, Alabama",Alabama,1180348406.0,C,5074296.0,East South Central
213,"Horn Hill, Alabama",Alabama,1166181398.0,Start,5074296.0,East South Central
214,"Hueytown, Alabama",Alabama,1177622536.0,C,5074296.0,East South Central
215,"Huntsville, Alabama",Alabama,1180130440.0,FA,5074296.0,East South Central
216,"Hurtsboro, Alabama",Alabama,1096814754.0,C,5074296.0,East South Central
217,"Hytop, Alabama",Alabama,1166181602.0,Start,5074296.0,East South Central
218,"Ider, Alabama",Alabama,1166181612.0,C,5074296.0,East South Central
219,"Indian Springs Village, Alabama",Alabama,1166181665.0,C,5074296.0,East South Central
220,"Irondale, Alabama",Alabama,1169440818.0,C,5074296.0,East South Central
221,"Jackson's Gap, Alabama",Alabama,1166181798.0,Start,5074296.0,East South Central
222,"Jackson, Alabama",Alabama,1165750992.0,C,5074296.0,East South Central
223,"Jacksonville, Alabama",Alabama,1175988040.0,C,5074296.0,East South Central
224,"Jasper, Alabama",Alabama,1174380579.0,C,5074296.0,East South Central
225,"Jemison, Alabama",Alabama,1165751151.0,C,5074296.0,East South Central
226,"Kansas, Alabama",Alabama,1166182143.0,Start,5074296.0,East South Central
227,"Kellyton, Alabama",Alabama,1166182186.0,Stub,5074296.0,East South Central
228,"Kennedy, Alabama",Alabama,1166182247.0,Start,5074296.0,East South Central
229,"Killen, Alabama",Alabama,1166182386.0,C,5074296.0,East South Central
230,"Kimberly, Alabama",Alabama,1177622633.0,C,5074296.0,East South Central
231,"Kinsey, Alabama",Alabama,1166182487.0,C,5074296.0,East South Central
232,"Kinston, Alabama",Alabama,1166182489.0,C,5074296.0,East South Central
233,"LaFayette, Alabama",Alabama,1165752571.0,C,5074296.0,East South Central
234,"Lake View, Alabama",Alabama,1170831381.0,C,5074296.0,East South Central
235,"Lakeview, Alabama",Alabama,1166205391.0,Start,5074296.0,East South Central
236,"Lanett, Alabama",Alabama,1165889187.0,C,5074296.0,East South Central
237,"Langston, Alabama",Alabama,1171521067.0,C,5074296.0,East South Central
238,"Leeds, Alabama",Alabama,1179531175.0,C,5074296.0,East South Central
239,"Leesburg, Alabama",Alabama,1166205728.0,C,5074296.0,East South Central
240,"Leighton, Alabama",Alabama,1148926606.0,C,5074296.0,East South Central
241,"Lester, Alabama",Alabama,1166205815.0,Start,5074296.0,East South Central
242,"Level Plains, Alabama",Alabama,1165890044.0,Start,5074296.0,East South Central
243,"Lexington, Alabama",Alabama,1166205880.0,Start,5074296.0,East South Central
244,"Libertyville, Alabama",Alabama,1166205930.0,Start,5074296.0,East South Central
245,"Lincoln, Alabama",Alabama,1165890317.0,C,5074296.0,East South Central
246,"Linden, Alabama",Alabama,1170891816.0,GA,5074296.0,East South Central
247,"Lineville, Alabama",Alabama,1165890459.0,GA,5074296.0,East South Central
248,"Lipscomb, Alabama",Alabama,1177622747.0,C,5074296.0,East South Central
249,"Lisman, Alabama",Alabama,1166206088.0,C,5074296.0,East South Central
250,"Littleville, Alabama",Alabama,1166206172.0,Start,5074296.0,East South Central
251,"Livingston, Alabama",Alabama,1165891122.0,C,5074296.0,East South Central
252,"Loachapoka, Alabama",Alabama,1166206211.0,C,5074296.0,East South Central
253,"Lockhart, Alabama",Alabama,1166206220.0,C,5074296.0,East South Central
254,"Locust Fork, Alabama",Alabama,1173287337.0,C,5074296.0,East South Central
255,"Louisville, Alabama",Alabama,1166206343.0,Start,5074296.0,East South Central
256,"Lowndesboro, Alabama",Alabama,1166206408.0,C,5074296.0,East South Central
257,"Loxley, Alabama",Alabama,1170361974.0,C,5074296.0,East South Central
258,"Luverne, Alabama",Alabama,1173068585.0,C,5074296.0,East South Central
259,"Lynn, Alabama",Alabama,1166206561.0,Start,5074296.0,East South Central
260,"Madison, Alabama",Alabama,1177703025.0,C,5074296.0,East South Central
261,"Madrid, Alabama",Alabama,1166206649.0,C,5074296.0,East South Central
262,"Magnolia Springs, Alabama",Alabama,1166206656.0,GA,5074296.0,East South Central
263,"Malvern, Alabama",Alabama,1166206718.0,C,5074296.0,East South Central
264,"Maplesville, Alabama",Alabama,1166206829.0,C,5074296.0,East South Central
265,"Margaret, Alabama",Alabama,1165892174.0,C,5074296.0,East South Central
266,"Marion, Alabama",Alabama,1165892206.0,GA,5074296.0,East South Central
267,"Maytown, Alabama",Alabama,1166207284.0,Start,5074296.0,East South Central
268,"McIntosh, Alabama",Alabama,1176350576.0,C,5074296.0,East South Central
269,"McKenzie, Alabama",Alabama,1166207344.0,Start,5074296.0,East South Central
270,"McMullen, Alabama",Alabama,1166207363.0,Start,5074296.0,East South Central
271,"Memphis, Alabama",Alabama,1166207484.0,Start,5074296.0,East South Central
272,"Mentone, Alabama",Alabama,1166207510.0,GA,5074296.0,East South Central
273,"Midfield, Alabama",Alabama,1165893352.0,C,5074296.0,East South Central
274,"Midland City, Alabama",Alabama,1166207749.0,C,5074296.0,East South Central
275,"Midway, Alabama",Alabama,1158753496.0,C,5074296.0,East South Central
276,"Millbrook, Alabama",Alabama,1178021676.0,C,5074296.0,East South Central
277,"Millport, Alabama",Alabama,1166207935.0,C,5074296.0,East South Central
278,"Millry, Alabama",Alabama,1166207936.0,Start,5074296.0,East South Central
279,"Mobile, Alabama",Alabama,1180350145.0,GA,5074296.0,East South Central
280,"Monroeville, Alabama",Alabama,1172371452.0,C,5074296.0,East South Central
281,"Montevallo, Alabama",Alabama,1177552745.0,C,5074296.0,East South Central
282,"Montgomery, Alabama",Alabama,1180299743.0,GA,5074296.0,East South Central
283,"Moody, Alabama",Alabama,1179508395.0,C,5074296.0,East South Central
284,"Mooresville, Alabama",Alabama,1169255573.0,C,5074296.0,East South Central
285,"Morris, Alabama",Alabama,1177624137.0,C,5074296.0,East South Central
286,"Mosses, Alabama",Alabama,1175025748.0,C,5074296.0,East South Central
287,"Moulton, Alabama",Alabama,1165894467.0,C,5074296.0,East South Central
288,"Moundville, Alabama",Alabama,1166208667.0,C,5074296.0,East South Central
289,"Mount Vernon, Alabama",Alabama,1166208775.0,GA,5074296.0,East South Central
290,"Mountain Brook, Alabama",Alabama,1172621297.0,C,5074296.0,East South Central
291,"Mulga, Alabama",Alabama,1157496931.0,Start,5074296.0,East South Central
292,"Munford, Alabama",Alabama,1178871326.0,C,5074296.0,East South Central
293,"Muscle Shoals, Alabama",Alabama,1178909921.0,C,5074296.0,East South Central
294,"Myrtlewood, Alabama",Alabama,1166208882.0,GA,5074296.0,East South Central
295,"Napier Field, Alabama",Alabama,1166208894.0,Start,5074296.0,East South Central
296,"Natural Bridge, Alabama",Alabama,1166208941.0,C,5074296.0,East South Central
297,"Nauvoo, Alabama",Alabama,1096820857.0,C,5074296.0,East South Central
298,"Nectar, Alabama",Alabama,1166208963.0,Start,5074296.0,East South Central
299,"Needham, Alabama",Alabama,1166208968.0,Start,5074296.0,East South Central
300,"New Brockton, Alabama",Alabama,1166209021.0,C,5074296.0,East South Central
301,"New Hope, Alabama",Alabama,1179883996.0,C,5074296.0,East South Central
302,"New Site, Alabama",Alabama,1166209336.0,Start,5074296.0,East South Central
303,"Newbern, Alabama",Alabama,1180353697.0,GA,5074296.0,East South Central
304,"Newton, Alabama",Alabama,1166209571.0,C,5074296.0,East South Central
305,"Newville, Alabama",Alabama,1177928995.0,C,5074296.0,East South Central
306,"North Courtland, Alabama",Alabama,1166209704.0,Start,5074296.0,East South Central
307,"North Johns, Alabama",Alabama,1166209738.0,Start,5074296.0,East South Central
308,"Northport, Alabama",Alabama,1167817987.0,C,5074296.0,East South Central
309,"Notasulga, Alabama",Alabama,1175854552.0,C,5074296.0,East South Central
310,"Oak Grove, Alabama",Alabama,1124809704.0,C,5074296.0,East South Central
311,"Oak Hill, Alabama",Alabama,1166209958.0,C,5074296.0,East South Central
312,"Oakman, Alabama",Alabama,1174954255.0,Start,5074296.0,East South Central
313,"Odenville, Alabama",Alabama,1166210198.0,C,5074296.0,East South Central
314,"Ohatchee, Alabama",Alabama,1166210252.0,C,5074296.0,East South Central
315,"Oneonta, Alabama",Alabama,1166092446.0,C,5074296.0,East South Central
316,"Onycha, Alabama",Alabama,1166210466.0,Start,5074296.0,East South Central
317,"Opelika, Alabama",Alabama,1165896665.0,C,5074296.0,East South Central
318,"Opp, Alabama",Alabama,1165896683.0,C,5074296.0,East South Central
319,"Orange Beach, Alabama",Alabama,1179725369.0,C,5074296.0,East South Central
320,"Orrville, Alabama",Alabama,1175606582.0,C,5074296.0,East South Central
321,"Owens Cross Roads, Alabama",Alabama,1172849762.0,C,5074296.0,East South Central
322,"Oxford, Alabama",Alabama,1165896955.0,C,5074296.0,East South Central
323,"Ozark, Alabama",Alabama,1175658038.0,C,5074296.0,East South Central
324,"Paint Rock, Alabama",Alabama,1166210847.0,C,5074296.0,East South Central
325,"Parrish, Alabama",Alabama,1166210982.0,C,5074296.0,East South Central
326,"Pelham, Alabama",Alabama,1174024956.0,C,5074296.0,East South Central
327,"Pell City, Alabama",Alabama,1171029165.0,C,5074296.0,East South Central
328,"Pennington, Alabama",Alabama,1135170013.0,C,5074296.0,East South Central
329,"Perdido Beach, Alabama",Alabama,1166211174.0,Start,5074296.0,East South Central
330,"Petrey, Alabama",Alabama,1096817791.0,C,5074296.0,East South Central
331,"Phenix City, Alabama",Alabama,1160284984.0,C,5074296.0,East South Central
332,"Phil Campbell, Alabama",Alabama,1176609767.0,C,5074296.0,East South Central
333,"Pickensville, Alabama",Alabama,1166211277.0,C,5074296.0,East South Central
334,"Piedmont, Alabama",Alabama,1174026676.0,C,5074296.0,East South Central
335,"Pike Road, Alabama",Alabama,1170574167.0,C,5074296.0,East South Central
336,"Pinckard, Alabama",Alabama,1166211323.0,Start,5074296.0,East South Central
337,"Pine Apple, Alabama",Alabama,1166211355.0,C,5074296.0,East South Central
338,"Pine Hill, Alabama",Alabama,1166211367.0,Start,5074296.0,East South Central
339,"Pine Ridge, Alabama",Alabama,1166211388.0,Start,5074296.0,East South Central
340,"Pinson, Alabama",Alabama,1178582292.0,C,5074296.0,East South Central
341,"Pisgah, Alabama",Alabama,1166211442.0,C,5074296.0,East South Central
342,"Pleasant Grove, Alabama",Alabama,1177636010.0,C,5074296.0,East South Central
343,"Pleasant Groves, Alabama",Alabama,1166229073.0,Start,5074296.0,East South Central
344,"Pollard, Alabama",Alabama,1166229176.0,Start,5074296.0,East South Central
345,"Powell, Alabama",Alabama,1166229333.0,C,5074296.0,East South Central
346,"Prattville, Alabama",Alabama,1167939343.0,C,5074296.0,East South Central
347,"Priceville, Alabama",Alabama,1166229409.0,C,5074296.0,East South Central
348,"Prichard, Alabama",Alabama,1176865405.0,C,5074296.0,East South Central
349,"Providence, Alabama",Alabama,1166229472.0,Start,5074296.0,East South Central
350,"Ragland, Alabama",Alabama,1166229540.0,C,5074296.0,East South Central
351,"Rainbow City, Alabama",Alabama,1180291560.0,GA,5074296.0,East South Central
352,"Rainsville, Alabama",Alabama,1171084402.0,C,5074296.0,East South Central
353,"Ranburne, Alabama",Alabama,1166229569.0,C,5074296.0,East South Central
354,"Red Bay, Alabama",Alabama,1169333757.0,C,5074296.0,East South Central
355,"Red Level, Alabama",Alabama,1166229671.0,C,5074296.0,East South Central
356,"Reece City, Alabama",Alabama,1166229699.0,Start,5074296.0,East South Central
357,"Reform, Alabama",Alabama,1165899409.0,C,5074296.0,East South Central
